group,phrase,head_word,mechanism,diff_pull,phrase_pull,head_pull,pull_amplification,diff_target_sim,diff_neutral_sim
candidate,床を共にする,床,metonymic: 寝具共有 → 性行為,0.1950698632479785,0.10352277003576527,-0.08646761422563404,0.1899903842613993,0.03326816054508549,-0.161801702702893
candidate,手を出す,手,metonymic: 身体接触の開始 → 性的接触,0.16777481651016707,0.09105098292238883,-0.09544997085726559,0.18650095377965442,0.03189986598688593,-0.13587495052328113
candidate,一線を越える,一線,metonymic: 境界侵犯 → 性的関係,0.12376600253740458,0.043910586446289535,-0.0457336666795391,0.08964425312582863,-0.041729057130475755,-0.16549505966788033
candidate,体の関係,体,metonymic: 身体 → 性的関係,0.13610688417401462,0.10325039385657908,-0.029934285636994518,0.1331846794935736,0.114749041658454,-0.02135784251556063
candidate,深い関係,深い,metonymic: 関係の深度 → 性的関係,0.16094121074797438,0.11798132764594532,-0.0200639633146264,0.13804529096057172,0.10116235118535996,-0.05977885956261442
candidate,大人の関係,大人,metonymic: 成熟 → 性的関係,0.26242492013849256,0.24772307953030276,0.05355388907489039,0.19416919045541237,0.08985753361958289,-0.17256738651890968
candidate,最後まで,最後,metonymic: 行為の終点 → 性行為完遂,-0.006497397482071392,-0.004546754002384967,0.0004744511986580213,-0.005021205201042989,-0.043882663245223975,-0.037385265763152584
candidate,お泊まり,泊まり,metonymic: 宿泊 → 性行為,0.04630759628918302,0.04163420742238494,-0.005768160781022824,0.04740236820340776,0.035667623492021586,-0.010639972797161428
control,床に就く,床,literal: 就寝,0.13126012866298833,0.038912419252272734,-0.08645920248362926,0.125371621735902,0.010245639162630289,-0.12101448950035804
control,手を洗う,手,literal: 衛生行為,0.11856455738664713,0.039573185946074785,-0.09544997085726559,0.13502315680334037,-0.004732327323851123,-0.12329688471049825
control,一線を画す,一線,literal/metaphorical: 区別する,0.09939231232239515,0.02662282262526361,-0.0457336666795391,0.0723564893048027,-0.04083112635202854,-0.1402234386744237
control,体の調子,体,literal: 健康状態,0.10173299175180728,0.07114583959357595,-0.02981043911968373,0.10095627871325968,0.049836580848507214,-0.05189641090330006
control,深い眠り,深い,literal: 睡眠の質,0.07601472422966679,0.04739363127476848,-0.0200639633146264,0.06745759458939488,-0.01307264215406814,-0.08908736638373493
control,大人の対応,大人,literal: 成熟した振る舞い,0.1193706805404044,0.14263353493286446,0.05352876747658902,0.08910476745627544,-0.04433380244206644,-0.16370448298247084
control,最後まで読む,最後,literal: 読書完遂,0.036060534352687926,0.031698286690586164,0.0004744511986580213,0.031223835491928142,-0.0700641234842585,-0.10612465783694643
control,お泊まり保育,泊まり,literal: 保育行事,0.032959333905832146,0.02950472717353586,-0.005768160781022824,0.035272887954558685,-0.04289620714316441,-0.07585554104899656
